title,price,area,rooms,floor,comandat,link,location
Apartament de inchiriat - Ultracentral-Piata Unirii,850,140 mp utili,4 camere,Etaj 2/2,Semidecomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/ultracentral/apartament-de-inchiriat-4-camere-X1BR1003L?lista=2350118,"Timisoara, zona Ultracentral"
Apartament 3 camere central Unirii,450,70 mp utili,3 camere,Etaj 7/7,Semidecomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/p-ta-unirii/apartament-de-inchiriat-3-camere-X6EG00015?lista=2350118,"Timisoara, zona P-ta Unirii"
Apartament de închiriat 2 camere,300,42 mp utili,2 camere,Parter/4,Semidecomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/sagului/apartament-de-inchiriat-2-camere-X5R30000M?lista=2350118,"Timisoara, zona Sagului"
Apartament 2 camere deosebit Complex The Ring,400,57 mp utili,2 camere,Etaj 1/7,Decomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/torontalului/apartament-de-inchiriat-2-camere-X98V0000T?lista=2350118,"Timisoara, zona Torontalului"
Bucovina 2 camere decomandate etaj 1,350,57 mp utili,2 camere,Etaj 1/4,Decomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/bucovina/apartament-de-inchiriat-2-camere-XA1I00009?lista=2350118,"Timisoara, zona Bucovina"
Apartament recent amenajat langa Iulius Mall,445,78 mp utili,3 camere,Etaj 2/4,Semidecomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/aradului/apartament-de-inchiriat-3-camere-X56J000AT?lista=2350118,"Timisoara, zona Aradului"
Apartament zona Aradului,600,60 mp utili,2 camere,Etaj 4,Decomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/aradului/apartament-de-inchiriat-2-camere-X47N10018?lista=2350118,"Timisoara, zona Aradului"
Apartament 4 camere zona Complex - Olimpia,450,98 mp utili,4 camere,Etaj 2/8,Decomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/olimpia-stadion/apartament-de-inchiriat-4-camere-X20N1010T?lista=2350118,"Timisoara, zona Olimpia-Stadion"
"Apartament cu 3 camere, superb, utilat si mobilat",550,73 mp utili,3 camere,Etaj 8/9,Decomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/complex-studentesc/apartament-de-inchiriat-3-camere-XA800000A?lista=2350118,"Timisoara, zona Complex Studentesc"
"Aradului, 3 Camere, Centrala, Decomandat",330,70 mp utili,3 camere,Etaj 2/4,Decomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/aradului/apartament-de-inchiriat-3-camere-X8I50005H?lista=2350118,"Timisoara, zona Aradului"
"Apartament cu 1 camera intr-un bloc nou, situat in Giroc",280,40 mp utili,o cameră,Etaj 1/2,Decomandat,https://www.imobiliare.ro/inchirieri-garsoniere/timisoara/girocului/garsoniera-de-inchiriat-XAAT0001B?lista=2350118,"Timisoara, zona Girocului"
Lux apartament tip Penthouse zona Medicina,1.000,110 mp utili,3 camere,Etaj 4,Decomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/medicina/apartament-de-inchiriat-3-camere-X9FK0003T?lista=2350118,"Timisoara, zona Medicina"
Apartament o camera zona Maria,270,35 mp utili,o cameră,Etaj 1,Decomandat,https://www.imobiliare.ro/inchirieri-garsoniere/timisoara/central/garsoniera-de-inchiriat-XAPL00006?lista=2350118,"Timisoara, zona Central"
Apartament 2 camere Take Ionescu,349,48 mp utili,2 camere,Etaj 4/4,Semidecomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/tipografilor/apartament-de-inchiriat-2-camere-XAOV1000A?lista=2350118,"Timisoara, zona Tipografilor"
"ULTRACENTRAL, 2 CAMERE, PARCARE IN CURTE CU BARIERA",420,67 mp utili,2 camere,Etaj 1/3,Semidecomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/ultracentral/apartament-de-inchiriat-2-camere-XV0000V1B?lista=2350118,"Timisoara, zona Ultracentral"
Calea Aradului - ap. 3 camere nou(langa Iulius Mall) / 3 rooms apartment,400,68 mp utili,3 camere,Etaj 5/5,Semidecomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/aradului/apartament-de-inchiriat-3-camere-X7PS00033?lista=2350118,"Timisoara, zona Aradului"
"Centrala Proprie,Girocului, mobilat, utilat",260,46 mp utili,2 camere,Etaj 2/4,Semidecomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/girocului/apartament-de-inchiriat-2-camere-X5R30000G?lista=2350118,"Timisoara, zona Girocului"
"Un apartament modern, intr-o zona de calitate a orasului. Braytim/Soarelui.",370,52 mp utili,2 camere,Parter/2,Decomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/girocului/apartament-de-inchiriat-2-camere-X4OV000BP?lista=2350118,"Timisoara, zona Girocului"
Apartament cu 3 cam decomandat cu centrala proprie Circumvalatiunii,350,65 mp utili,3 camere,Etaj 2/8,Decomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/circumvalatiunii/apartament-de-inchiriat-3-camere-X7R700005?lista=2350118,"Timisoara, zona Circumvalatiunii"
Aradului - I.Mall - Spatiu 3 Cam - Centrala - Renovat - Zona Excelenta,400,55 mp utili,3 camere,Parter/4,Semidecomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/aradului/apartament-de-inchiriat-3-camere-XAUR0000T?lista=2350118,"Timisoara, zona Aradului"
Apartament tip studio-Odobescu,300,50 mp utili,2 camere,Etaj 1,Semidecomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/odobescu/apartament-de-inchiriat-2-camere-X6EG00017?lista=2350118,"Timisoara, zona Odobescu"
"Apartament cu 4 cam, spatios, renovat",450,110 mp utili,4 camere,Etaj 3/4,Decomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/braytim/apartament-de-inchiriat-4-camere-XA8000006?lista=2350118,"Timisoara, zona Braytim"
Complex Olimpia 4 camere decomandat - Ideal studenti,450,70 mp utili,3 camere,Etaj 2/10,Decomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/complex-studentesc/apartament-de-inchiriat-3-camere-X4880006C?lista=2350118,"Timisoara, zona Complex Studentesc"
Apartament de inchiriat 2 camere etaj intermediar Zona Stadion,280,50 mp utili,2 camere,Etaj 3/4,Decomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/olimpia-stadion/apartament-de-inchiriat-2-camere-X7RB0000A?lista=2350118,"Timisoara, zona Olimpia-Stadion"
Proprietar - Regim hotelier Ap 3 cam Lux zona Modern 45 Eur/zi,,80 mp utili,3 camere,Etaj 8/8,Semidecomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/simion-barnutiu/apartament-de-inchiriat-3-camere-X3U300008?lista=2350118,"Timisoara, zona Simion Barnutiu"
Apartament cu 3 camere si garaj-Mircea cel Batran,500,65 mp utili,3 camere,Etaj 2/3,Decomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/mircea-cel-batran/apartament-de-inchiriat-3-camere-X6EG0000H?lista=2350118,"Timisoara, zona Mircea cel Batran"
Apartament 3 camere zona Braytim,550,65 mp utili,3 camere,Parter/2,Decomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/braytim/apartament-de-inchiriat-3-camere-X20N1011J?lista=2350118,"Timisoara, zona Braytim"
Apartament ultracentral,1.000,140 mp utili,5 camere,Etaj 1/4,Decomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/punctele-cardinale/apartament-de-inchiriat-5-camere-X6EG0000O?lista=2350118,"Timisoara, zona Punctele Cardinale"
"Girocului, 2 camere decomandat, clima, centrala proprie",325,50 mp utili,2 camere,Etaj 4,Decomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/girocului/apartament-de-inchiriat-2-camere-X41F100C0?lista=2350118,"Timisoara, zona Girocului"
"Ultracentral, 2 camere, decomandat, vedere spre Catedrala",480,48 mp utili,2 camere,Etaj 6/8,Decomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/ultracentral/apartament-de-inchiriat-2-camere-X41F100L2?lista=2350118,"Timisoara, zona Ultracentral"
Apartament langa Nokia,530,87 mp utili,3 camere,Etaj 4/8,Decomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/garii/apartament-de-inchiriat-3-camere-X47N1002K?lista=2350118,"Timisoara, zona Garii"
inchiriez apartament 4 camere in vila Iosefin 350 euro,350,80 mp utili,4 camere,Etaj 3/4,Semidecomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/iosefin/apartament-de-inchiriat-4-camere-X7A7000FC?lista=2350118,"Timisoara, zona Iosefin"
Girocului - 1 cam dec- foarte spatios - renovat complet!,250,33 mp utili,o cameră,Parter/4,Decomandat,https://www.imobiliare.ro/inchirieri-garsoniere/timisoara/girocului/garsoniera-de-inchiriat-X89S0018J?lista=2350118,"Timisoara, zona Girocului"
Apartament cochet de inchiriat in zona Mircea cel Batran,550,90 mp utili,3 camere,Etaj 2/2,Decomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/mircea-cel-batran/apartament-de-inchiriat-3-camere-X1BR10031?lista=2350118,"Timisoara, zona Mircea cel Batran"
"Gheorghe Lazar, 1 Camera, Centrala, Decomandat, 35 mp",250,35 mp utili,o cameră,Etaj 4/10,Decomandat,https://www.imobiliare.ro/inchirieri-garsoniere/timisoara/gheorghe-lazar/garsoniera-de-inchiriat-X8I50004T?lista=2350118,"Timisoara, zona Gheorghe Lazar"
Apartament cu 3 camere zona Mehala,600,100 mp utili,3 camere,Etaj 3,Decomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/mehala/apartament-de-inchiriat-3-camere-X47N100B5?lista=2350118,"Timisoara, zona Mehala"
Mircea cel Batran - TOSCANA,500,Etaj 2,3 camere,Decomandat,500,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/bucovina/apartament-de-inchiriat-3-camere-X91100003?lista=2350118,"Timisoara, zona Bucovina"
Apartament cochet in zona Girocului,340,42 mp utili,2 camere,Etaj 4/8,Semidecomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/girocului/apartament-de-inchiriat-2-camere-X20N1011H?lista=2350118,"Timisoara, zona Girocului"
Apartament de lux in bloc nou cu 2 camere in zona Braitym,500,54 mp utili,2 camere,Etaj 2/3,Decomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/braytim/apartament-de-inchiriat-2-camere-X1BR1000U?lista=2350118,"Timisoara, zona Braytim"
"Apartament cu 3 camere, bloc nou, mobilat si utilat si utilat lux",450,65 mp utili,3 camere,Etaj 1/3,Decomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/girocului/apartament-de-inchiriat-3-camere-XA8000005?lista=2350118,"Timisoara, zona Girocului"
OWNER 2 bedroom apartment for rent Uranus PLAZA,550,74 mp utili,2 camere,Etaj 10,Decomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/complex-studentesc/apartament-de-inchiriat-2-camere-XV0B002N9?lista=2350118,"Timisoara, zona Complex Studentesc"
"Ap. 3 camere, complet renovat si utilat, aproape de ISHO",470,54 mp utili,3 camere,Etaj 3/4,Semidecomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/take-ionescu/apartament-de-inchiriat-3-camere-XV0G00243?lista=2350118,"Timisoara, zona Take Ionescu"
"Apartament cu 3 camere, constructie noua+loc de parcare- Complexul Studentesc",600,100 mp utili,3 camere,Etaj 1/8,Semidecomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/complex-studentesc/apartament-de-inchiriat-3-camere-X1BR10016?lista=2350118,"Timisoara, zona Complex Studentesc"
Apartament 2 camere-Balcescu,400,55 mp utili,2 camere,Parter/4,Decomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/balcescu/apartament-de-inchiriat-2-camere-X6EG0001G?lista=2350118,"Timisoara, zona Balcescu"
"De inchiriat ap 3 cam et2, zona Sagului",300,52 mp utili,3 camere,Etaj 2/4,300,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/sagului/apartament-de-inchiriat-3-camere-X6SD1002E?lista=2350118,"Timisoara, zona Sagului"
Zona Medicinei,450,60 mp utili,2 camere,Etaj 3/4,Decomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/medicina/apartament-de-inchiriat-2-camere-X47N10005?lista=2350118,"Timisoara, zona Medicina"
"Apartament 2 camere, centrala proprie, Rebreanu-Sagului.",300,44 mp utili,2 camere,Etaj 2/4,Semidecomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/sagului/apartament-de-inchiriat-2-camere-X6UV1001H?lista=2350118,"Timisoara, zona Sagului"
Penthouse in zona centrala,1.000,150 mp utili,3 camere,Mansarda/2,Decomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/medicina/penthouse-de-inchiriat-3-camere-X47N1007J?lista=2350118,"Timisoara, zona Medicina"
2 cam Circumvalatiunii Bloc Nou,450,46 mp utili,2 camere,Etaj 3/6,Decomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/circumvalatiunii/apartament-de-inchiriat-2-camere-X6SD1003T?lista=2350118,"Timisoara, zona Circumvalatiunii"
"FM740 Apartament 2 camere, Zona Ultracentrala",450,50 mp utili,2 camere,Etaj 1/3,Decomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/central/apartament-de-inchiriat-2-camere-X7SO000AQ?lista=2350118,"Timisoara, zona Central"
Apartament cu 3 camere,800,108 mp utili,3 camere,Etaj 4,Decomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/nord/apartament-de-inchiriat-3-camere-X47N1000T?lista=2350118,"Timisoara, zona Nord"
"Bloc nou, 4 camere, centrala proprie, clima !",400,90 mp utili,3 camere,Etaj 1/2,Decomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/complex-studentesc/apartament-de-inchiriat-3-camere-X4OV001C6?lista=2350118,"Timisoara, zona Complex Studentesc"
"OCAZIE! Apartament cu 2 camere, in BLOC NOU, la et.1, LA CHEIE!",390,67 mp utili,2 camere,Etaj 1/7,Decomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/torontalului/apartament-de-inchiriat-2-camere-X0A410C3E?lista=2350118,"Timisoara, zona Torontalului"
"Apartament 2 camere LUX, Central Balcescu",400,50 mp utili,2 camere,Etaj 1/2,Decomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/balcescu/apartament-de-inchiriat-2-camere-X6CI1001N?lista=2350118,"Timisoara, zona Balcescu"
2 camere Braytim LUX,420,52 mp utili,2 camere,Etaj 1/2,Decomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/braytim/apartament-de-inchiriat-2-camere-X7J10000I?lista=2350118,"Timisoara, zona Braytim"
"Apartament 3 camere in bloc nou, 2 bai, zona Semicentrala",490,100 mp utili,3 camere,Etaj 1/5,Decomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/iosefin/apartament-de-inchiriat-3-camere-X84C1002L?lista=2350118,"Timisoara, zona Iosefin"
Apartament 3 camere de lux,500,115 mp utili,4 camere,Parter/8,Decomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/circumvalatiunii/apartament-de-inchiriat-4-camere-X7UH0001M?lista=2350118,"Timisoara, zona Circumvalatiunii"
PRIMA INCHIRIERE- Bloc NOU IRIS 6,430,62 mp utili,2 camere,Etaj 1/8,Decomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/torontalului/apartament-de-inchiriat-2-camere-X02K0001F?lista=2350118,"Timisoara, zona Torontalului"
Apartament zona Braytim,750,110 mp utili,3 camere,Etaj 3,Decomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/braytim/apartament-de-inchiriat-3-camere-X47N100C0?lista=2350118,"Timisoara, zona Braytim"
Apartament aproape de zona Medicina,430,55 mp utili,2 camere,Etaj 1,Decomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/fabric/apartament-de-inchiriat-2-camere-X47N1005V?lista=2350118,"Timisoara, zona Fabric"
Lux si calitate in Timisoara,650,105 mp utili,3 camere,Etaj 3/8,Decomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/simion-barnutiu/apartament-de-inchiriat-3-camere-X47N1001U?lista=2350118,"Timisoara, zona Simion Barnutiu"
"Strada Vasile Lucaci ambient plăcut, centrală proprie gaz",400,52 mp utili,2 camere,Etaj 4,Semidecomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/take-ionescu/apartament-de-inchiriat-2-camere-X9FH0000A?lista=2350118,"Timisoara, zona Take Ionescu"
"Apartament 3 camere ,parter,zona Soarelui",450,78 mp utili,3 camere,Parter/2,Decomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/braytim/apartament-de-inchiriat-3-camere-XV0G00AGL?lista=2350118,"Timisoara, zona Braytim"
"2 camere, renovat 2018, Take Ionescu - Medicina vis-à-vis ISHO.",380,44 mp utili,2 camere,Etaj 3/4,Semidecomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/take-ionescu/apartament-de-inchiriat-2-camere-X4OV001LT?lista=2350118,"Timisoara, zona Take Ionescu"
Inchiriere apartament in piata Unirii,420,45 mp utili,2 camere,Etaj 1/1,Decomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/p-ta-unirii/apartament-de-inchiriat-2-camere-X3TR1007S?lista=2350118,"Timisoara, zona P-ta Unirii"
Inchiriez ap 3 cam zona centrala - Marasti,420,80 mp utili,3 camere,Etaj 5/7,Decomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/central/apartament-de-inchiriat-3-camere-X6SD1001L?lista=2350118,"Timisoara, zona Central"
Apartament cu 2 camere zona Dumbravita,650,60 mp utili,2 camere,Etaj 1,Decomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/nord/apartament-de-inchiriat-2-camere-X47N1000B?lista=2350118,"Timisoara, zona Nord"
De inchiriat apartament la casa cu loc parcare-Girocului,400,70 mp utili,2 camere,Parter/1,Semidecomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/girocului/apartament-de-inchiriat-2-camere-X1BR1006R?lista=2350118,"Timisoara, zona Girocului"
Inchiriere apartament foarte spatios in zona Bogdanestilor.,700,145 mp utili,5 camere,Etaj 3/3,Decomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/central/apartament-de-inchiriat-5-camere-X3TR1000C?lista=2350118,"Timisoara, zona Central"
"Bloc nou, Banu Construct 1, 38 mp utili, centrala proprie !",300,38 mp utili,o cameră,Etaj 5/6,Decomandat,https://www.imobiliare.ro/inchirieri-garsoniere/timisoara/lipovei/garsoniera-de-inchiriat-X4OV001F0?lista=2350118,"Timisoara, zona Lipovei"
Apartament de inchiriat 2 camere zona Torontalului,400,54 mp utili,2 camere,Etaj 2/7,Decomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/torontalului/apartament-de-inchiriat-2-camere-X98V00006?lista=2350118,"Timisoara, zona Torontalului"
Apartament cu 2 camere-BALCESCU,500,55 mp utili,2 camere,Etaj 1/1,Decomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/balcescu/apartament-de-inchiriat-2-camere-X6EG0000M?lista=2350118,"Timisoara, zona Balcescu"
Apartament in imobil istoric - Piata Unirii,700,72 mp utili,5 camere,Etaj 1/2,Semidecomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/ultracentral/apartament-de-inchiriat-5-camere-X1BR1005T?lista=2350118,"Timisoara, zona Ultracentral"
Apartament in P-ta Unirii - Imobil renovat,1.200,100 mp utili,3 camere,Etaj 2/2,Decomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/p-ta-unirii/apartament-de-inchiriat-3-camere-X47N1007P?lista=2350118,"Timisoara, zona P-ta Unirii"
"Apartament cu 2 camere, spatios, mobilat si utilat lux",400,55 mp utili,2 camere,Etaj 2/3,Decomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/soarelui/apartament-de-inchiriat-2-camere-XA800000Q?lista=2350118,"Timisoara, zona Soarelui"
Apartament 2 camere zona Colegiul Banatean,350,50 mp utili,2 camere,Etaj 2/8,Semidecomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/sinaia/apartament-de-inchiriat-2-camere-X20N1011K?lista=2350118,"Timisoara, zona Sinaia"
Apartament 3 camere la mansarda.,350,78 mp utili,3 camere,Mansarda/4,Semidecomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/sagului/apartament-de-inchiriat-3-camere-X75K0001B?lista=2350118,"Timisoara, zona Sagului"
"CENTRAL-PREFECTURA, ETAJ 2, MODEL MARE!!",600,100 mp utili,4 camere,Etaj 2/3,Decomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/central/apartament-de-inchiriat-4-camere-X1890002I?lista=2350118,"Timisoara, zona Central"
Poziție privilegiată zona. TAKE IONESCU _ ISHO,450,62 mp utili,3 camere,Etaj 8,Semidecomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/take-ionescu/apartament-de-inchiriat-3-camere-X9FH0001C?lista=2350118,"Timisoara, zona Take Ionescu"
Imi Inchiriez apartamentul!,380,52 mp utili,2 camere,Etaj 4/5,Semidecomandat,https://www.imobiliare.ro/inchirieri-apartamente/timisoara/soarelui/apartament-de-inchiriat-2-camere-XV0G008IR?lista=2350118,"Timisoara, zona Soarelui"
